47 91
54 98
61 105
68 112
75 119
82 126
89 133
96 140
103 147
103 147
103 147
95 154
87 161
79 168
71 175
63 182
63 182
63 182
55 174
47 166
39 158
31 150
23 142
15 134
15 134
15 134
15 134
15 144
15 154
15 164
15 174
15 184
15 184
22 191
22 191
32 191
42 191
52 191
62 191
72 191
82 191
92 191
102 191
102 191
109 183
109 183
108 173
107 163
106 153
105 143
104 133
103 123
102 113
101 103
100 93
99 83
98 73
97 63
96 53
95 43
94 33
93 23
92 13
92 13
92 13
82 13
72 13
62 13
52 13
42 13
32 13
22 13
12 13
12 13
12 13
12 23
12 33
12 43
12 53
12 63
12 73
12 83
12 93
12 103
12 113
12 123
12 133
12 143
12 153
12 163
12 173
12 183
12 183
19 190
19 190
29 190
39 190
49 190
59 190
69 190
