92 167
99 174
106 181
106 181
106 181
96 181
86 181
76 181
66 181
56 181
46 181
36 181
26 181
16 181
16 181
15 171
15 171
22 163
29 155
36 147
43 139
50 131
57 123
64 115
71 107
78 99
85 91
92 83
99 75
106 67
106 67
106 67
106 67
98 74
90 81
82 88
74 95
66 102
58 109
50 116
42 123
34 130
26 137
18 144
18 144
18 144
17 134
16 124
15 114
15 114
25 114
35 114
45 114
55 114
65 114
75 114
85 114
95 114
105 114
105 114
105 124
105 134
105 144
105 154
105 164
105 174
105 184
105 184
95 184
85 184
75 184
65 184
55 184
45 184
35 184
25 184
15 184
15 184
15 184
22 176
