55 39
54 29
53 19
53 19
60 11
60 11
70 11
80 11
90 11
100 11
100 11
107 18
107 18
107 28
107 38
107 48
107 58
107 68
107 78
107 88
107 98
107 108
107 118
107 128
107 138
107 148
107 158
107 168
107 178
107 188
107 188
107 188
97 188
87 188
77 188
67 188
57 188
47 188
37 188
27 188
17 188
17 188
9 180
9 180
8 170
7 160
6 150
5 140
4 130
3 120
2 110
1 100
0 90
0 90
7 82
14 74
21 66
21 66
20 56
19 46
18 36
17 26
17 26
27 26
37 26
47 26
47 26
54 33
61 40
68 47
75 54
82 61
89 68
96 75
103 82
110 89
110 89
110 99
110 109
110 119
110 129
110 139
110 149
110 159
110 169
110 179
110 189
110 189
110 189
100 189
90 189
80 189
70 189
60 189
50 189
40 189
30 189
20 189
20 189
12 181
12 181
11 171
10 161
9 151
8 141
7 131
6 121
5 111
4 101
3 91
2 81
1 71
0 61
0 61
7 53
14 45
21 37
21 37
20 27
20 27
30 27
40 27
40 27
47 34
54 41
61 48
68 55
75 62
82 69
89 76
96 83
103 90
110 97
110 97
110 107
110 117
110 127
110 137
110 147
110 157
110 167
110 177
110 187
110 187
110 187
100 187
90 187
80 187
70 187
60 187
50 187
40 187
30 187
20 187
20 187
12 179
12 179
11 169
10 159
9 149
8 139
7 129
6 119
5 109
4 99
3 89
2 79
1 69
0 59
0 59
7 51
14 43
21 35
21 35
20 25
20 25
30 25
40 25
40 25
47 32
54 39
61 46
68 53
75 60
82 67
89 74
96 81
103 88
110 95
110 95
110 105
110 115
110 125
110 135
110 145
110 155
110 165
110 175
110 185
110 185
102 192
102 192
92 192
82 192
72 192
62 192
52 192
42 192
32 192
22 192
12 192
12 192
12 192
11 182
10 172
9 162
8 152
7 142
6 132
5 122
4 112
3 102
2 92
1 82
0 72
0 72
7 64
14 56
21 48
21 48
20 38
19 28
19 28
29 28
39 28
49 28
49 28
56 35
63 42
70 49
77 56
84 63
91 70
98 77
105 84
112 91
112 91
112 101
112 111
112 121
112 131
112 141
112 151
112 161
112 171
112 181
112 181
104 188
104 188
94 188
84 188
74 188
64 188
54 188
44 188
34 188
24 188
14 188
14 188
14 188
13 178
12 168
11 158
10 148
9 138
8 128
7 118
6 108
5 98
4 88
3 78
2 68
1 58
0 48
0 48
7 40
14 32
21 24
21 24
31 24
41 24
41 24
48 31
55 38
62 45
69 52
76 59
83 66
90 73
97 80
